song_id,artist,title
138,Julio Iglesias,Un Canto de Galicia
139,Katy Kassay,AAAwie ein Kind
140,"Earth, Wind & Fire",Fantasy
141,Collette,Ring My Bell (CBS Version)
142,Collette & Guy Cross,Ring My Bell (Trackdown Version)
143,Queen & David Bowie,Under Pressure
144,Vanilla Ice,Ice Ice Baby
145,Reunion,Life Is a Rock (But the Radio Rolled Me)
146,McDonald's Corporation,Menu Song
147,Damon Black,The Jukebox
148,Vern Gosdin,Set 'Em Up Joe
149,RenA Grignon,Chanson Numero 7
150,Martine St-Clair,Tous Les Juke-box
151,Gilbert O'Sullivan,Alone Again (Naturally)
152,Biz Markie,Alone Again
153,Enrique Chia,Es
154,Julio Iglesias,Hey
155,Gerard McDonald,Proposed Theme Music for 'Sally Jesse Raphael Show'
156,Dan Radlauer,Theme Music for 'Sally Jesse Raphael Show'
157,Enigma,Sadeness I
158,Phlegma,Madness I
159,Exuma,There's a Brown Girl in the Ring
160,Boney M.,Brown Girl in the Ring
161,Malcolmas Lock,Brown Girl
162,Lloyd Chiate,Hello It's Me / I Just Called to Say
163,Stevie Wonder,I Just Called to Say I Love You
164,Derrick D. Moore,She Can't Stand It
165,Bobby Brown,On Our Own
166,Stavros Logarides,City of Violets
167,Vangelis,"Theme from ""Chariots of Fire"""
168,Boyd Jarvis,The Music's Got Me
169,C+C Music Factory,Get Dumb! (Free Your Body)
170,Les Inconnus,Auteuil Neuilly Passy
171,Maceo And All The King's Men,Southwick
172,James Drynan,Filion Family Welcome
173,Wayne Rostad,Here We Are On the Road Again
174,John Fogerty,Run Through the Jungle
175,John Fogerty,The Old Man Down the Road
176,Fat Boys,Stick 'em
177,Miller Brewing Co.,Miller Lite TV Ad
178,John Lee Hooker,Boogie Chillen
179,ZZ Top,La Grange
180,Eddie Palmieri,Paginas De Mujer
181,Gloria Estefan,Oye Mi Canto
182,The Legend (Rene Santrayll & Michael Walker),Uh Oh
183,MC Hammer,Here Comes the Hammer
184,Robert Smith and Reynard Jones,Don't Let the Sunshine
185,Michael Jackson,The Girl is Mine
186,Robert Smith and Reynard Jones,Happy Go Lucky Girl
187,James Damiano,Steel Guitars
188,Bob Dylan,Dignity
189,Maree McRae,"Every Minute, Every Hour, Every Day"
190,Collin Raye,Every Second
191,Ray Repp,Till You
192,Andrew Lloyd Webber,Phantom Song
193,The Honey Drippers,Impeach the President
194,Run DMC,Back from Hell
195,Better Than Ezra,Coyote
196,Better Than Ezra,unknown
197,Everett Ellis,Lay Me Out By the Jukebox When I Die
198,Joe Diffie,Prop Me Up Beside the Jukebox (If I Die)
199,ZZ Top,Promotional video for Plymouth Prowler
200,Snap!,Green Grass Grows
201,Cygnus X,Superstring
202,George Michael,Planetary Citizen
203,Massive Attack,Unfinished Sympathy
204,Michael Tisi,Sell Your Soul
205,Filter,Take A Picture
206,Matthew Cooper,The Lower we Fly
207,Christophe Mueller,Pond's Nutrivits ad music
208,Astrud Gilberto,Girl from Ipanema
