year,country,case_name,court,complaining_work,defending_work,complaining_author,defending
2007,US,Velez v. Sony Discos,S.D.N.Y.,Hasta Hoy,Tengo Ganas,Victor Velez,Victor Manuelle
2007,US,Lester v. U2,C.D. Cal.,Nowhere Fast,Vertigo,Chris Lester,U2 (band)
2007,PRC,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",Shanghai Interm. People’s Court,"Arrangements of Chinese Operas, including: The Mother as Slave","Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave",Xu Ruhui,Yang Feifei
2008,US,Glover v. Austin,2d Cir.,Make Up Your Mind,Unpretty,Corey Glover,"Tionne Watkins, et al."
2008,DE,"Winter v. Moore, et al.",Munich Distr. Ct.,Nordrach,Still Got the Blues,"Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Gary Moore
2008,IN,Sampath v. Roshan,Bom. HC,The Thump,Krazzy 4 (Remix) & Breakfree (Remix),Ram Sampath,Vishal Dadlani
2009,US,Allen v. Destiny's Child,N.D. Ill.,Cater 2 U,Cater 2 U,Rickey Allen,Destiny's Child
2009,US,Brainard v. Vassar,M.D.Tenn.,Good Ol' Days to Come,Good Ole Days,Dustin Evans,Phil Vassar
2009,US,"Steele v. Bongiovi, et al.",D. Mass.,Man I Really Love This Team,I Love This Town,Samuel Steele,Jon Bongiovi
2009,US,"Bridgeport Music, Inc. v. UMG Recordings, Inc",6th Cir.,Atomic Dog,D.O.G. In Me,George Clinton,"Robert Kelly, et al. (""Public Announcement"")"
2009,US,Jones v. Blige,6th Cir.,Party Ain't Crunk,Family Affair,Leonard Jones and James E. White,Mary J. Blige
2009,US,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",C.D. Cal.,If I Could Fly,Viva la Vida,Joe Satriani,Christopher Martin et al. [Coldplay]
2009,DE,Weh v. Universal Music Publishing,KG [Higher State Court] Berlin,Heartbeat,Get Over You,WEH,Sophie Ellis-Bextor
2010,US,"Currin v. Pharrell Williams, et al.",D. Conn.,I'm Frontin',Frontin,David & Peter Currin,Pharrell Williams
2010,AU,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,Fed. Ct. Aus.,Kookaburra Sits in the Old Gum Tree,Down Under,Marion Sinclair,"Colin Hay (""Men At Work"")"
2010,US,Marshall v. Huffman,N.D. Cal.,You are the One,My Love,Preston Marshall,"John Huffman, Real Content Media Group, Mariah Carey"
2010,US,"Prunte v. Universal Music Group Inc., et al.",D.C. Cir.,"Fire in Da Hole, Plus Others","Fire in the Hole, Plus Others",Robert R. Prunte,"Black Rob, et al."
2010,US,Martel Ellis v. Wyclef Jean,S.D.N.Y.,Danger,Welcome to the East,Martel Ellis,Wyclef Jean
2010,US,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",C.D. Cal.,Boom Dynamite,Boom Boom Pow,Ebony Latrice Batts aka “Phoenix Phenom”,"William Adams, et al. [“Black Eyed Peas”]"
2010,US,"Holmes v. Page, et al.",C.D. Cal.,Dazed and Confused,Dazed and Confused,Jake Holmes,Led Zeppelin
2011,US,"Ernest Straughter v. Usher Raymond, et al.",C.D. Cal.,The Reasons Why,Burn,Ernest Straughter,"Usher Raymond, et al."
2011,US,Pyatt v. Raymond,S.D.N.Y.,Caught Up,Caught Up,Wadena Pyatt,Usher Raymond
