case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
53,1960,US,Walters v. Shari Music Publishing,https://blogs.law.gwu.edu/mcir/case/walters-v-shari-music-publishing-corp/,S.D.N.Y.,Iron Bar,Lionel Walters,Jamaica Farewell,Erving Burgie
54,1963,UK,Francis Day & Hunter v. Bron,https://blogs.law.gwu.edu/mcir/case/francis-day-hunter-v-bron/,Ch. App.,In a Little Spanish Town,Mabel Wayne,Why,Peter de Angelis
55,1964,US,Irving Berlin et al. v. E.C. Publications,https://blogs.law.gwu.edu/mcir/case/irving-berlin-et-al-v-e-c-publications-inc/,2d Cir.,A Pretty Girl is Like a Melody,Irving Berlin,Louella Schwartz Describes Her Malady,Frank Jacobs and Larry Siegel
56,1964,US,"Nom Music, Inc. V. Kaslin",https://blogs.law.gwu.edu/mcir/case/nom-music-inc-v-kaslin/,S.D.N.Y.,A Thousand Miles Away,James Sheppard and William Miller,Daddy's Home,James Sheppard and William Miller
57,1965,US,Life Music v. Broadcast Music,https://blogs.law.gwu.edu/mcir/case/life-music-inc-v-broadcast-music-inc/,S.D.N.Y.,SUPERCALAFAJALISTICK ESPEEALADOJUS,Patricia Smith and Don Fenton,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,Robert Sherman
58,1965,US,Nordstrom v. R.C.A.,https://blogs.law.gwu.edu/mcir/case/nordstrom-v-r-c-a/,D. Colo.,Mizpah or Shalom,Frank Nordstrom,Shalom,Jerry Herman
59,1967,US,Packson v. Jobete,https://blogs.law.gwu.edu/mcir/case/packson-v-jobete-music/,E.D. Mich.,I'm Afraid,"Lorenzo Pack, Harper Evans",Baby Love,"Eddie Holland, Brian Holland, Lamont Dozier"
60,1967,DE,In re Geman Collecting Society GEMA,https://blogs.law.gwu.edu/mcir/case/in-re-gema/,BGH [Federal Court of Justice],Schwarzbraun ist die Haselnuss,GEMA / Franz Josef Breuer,,
61,1969,US,Leo Feist v. Apollo Records,https://blogs.law.gwu.edu/mcir/case/leo-feist-v-apollo-records/,S.D.N.Y.,"Toot, Toot, Tootsie",Gus Kahn et al.,"Toot, Toot, Tootsie",Gene Sayet & Sidney Feldman
62,1970,DE,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,https://blogs.law.gwu.edu/mcir/case/bote-bock-musik-v-melodie-der-welt-gmbh-co-kg/,BGH [Federal Court of Justice],O schöne Jugendtage,Wilhelm Kienzl,Tanze mit mir in den Morgen (Mitternachtstango),Gerhard Wendland
63,1973,US,Strachborneo v. Arc Music,https://blogs.law.gwu.edu/mcir/case/strachborneo-v-arc-music/,S.D.N.Y.,MOJO Workout,Ruth Stratchborneo,Got My Mojo Working,McKinley Morganfield
64,1975,UK,Mood Music v. De Wolfe,https://blogs.law.gwu.edu/mcir/case/mood-music-v-de-wolfe/,Ch. D.,Sogno Nostalgico,Armando Sciascia,Girl in the Dark,Jack Trombey
65,1976,US,Bright Tunes Music v. Harrisongs Music,https://blogs.law.gwu.edu/mcir/case/bright-tunes-music-v-harrisongs-music/,S.D.N.Y.,He's So Fine,Ronald Mack,My Sweet Lord,George Harrison
66,1976,US,Granite Music v. United Artists,https://blogs.law.gwu.edu/mcir/case/granite-music-v-united-artists/,9th Cir.,Tiny Bubbles,Leon Pober,Hiding the Wine,Ernest Gold
67,1976,US,MCA Music v. Earl Wilson,https://blogs.law.gwu.edu/mcir/case/mca-music-v-earl-wilson/,S.D.N.Y.,Boogie Woogie Bugle Boy,Don Raye and Hughie Prince,The Cunnilingus Champion of Co. C,Earl Wilson and Billy Cunningham
68,1978,US,Ferguson v. National Broadcasting Company,https://blogs.law.gwu.edu/mcir/case/ferguson-v-national-broadcasting-company/,5th Cir.,Jeannie Michele,Wilma Ferguson,"Theme from ""A Time to Love""",John Williams
69,1978,US,Herald Square Music v. Living Music,https://blogs.law.gwu.edu/mcir/case/herald-square-music-v-living-music/,S.D.N.Y.,Day by Day,Stephen Schwartz,"Theme for N.B.C.'s ""Today Show""",Ray Ellis
70,1978,US,Plymouth Music Co. v. Magnus Organ Corp.,https://blogs.law.gwu.edu/mcir/case/plymouth-music-co-v-magnus-organ-corp/,S.D.N.Y.,Holiday Polka,Anonymous,Holiday Polka,Anonymous
71,1978,JP,Harry v. Suzuki,https://blogs.law.gwu.edu/mcir/case/harry-v-suzuki/,Supreme Court of Japan,The Boulevard of Broken Dreams,Harry Warren,One Rainy Night in Tokyo,Doumei Suzuki
72,1980,US,Elsmere Music v. N.B.C.,https://blogs.law.gwu.edu/mcir/case/elsmere-music-v-n-b-c/,2d Cir.,I Love New York (advertising jingle),Steve Karman,National Broadcasting Company,National Broadcasting Company
73,1980,DE,Hanseatic Musikverlag v. Bellver Musikverlag,https://blogs.law.gwu.edu/mcir/case/hanseatic-musikverlag-v-bellver-musikverlag/,BGH [Federal Court of Justice],Dirlada,Pantelis Ghinnis,Loop Di Love,Juan Bastos
74,1980,US,Testa v. Janssen,https://blogs.law.gwu.edu/mcir/case/testa-v-janssen/,W.D. Pa.,Kept on Singing,Philip J. Lipari,Keep on Singing,Danny Janssen and Bobby Hart
75,1982,CA,Gondos v. Hardy,https://blogs.law.gwu.edu/mcir/case/gondos-v-hardy/,Ontario Supreme Court,Variations,Ivan Gondos,"The Homecoming, Moment of Love","Hagood Hardy, Rudy and Jerry Toth"
76,1984,US,Selle v. Gibb,https://blogs.law.gwu.edu/mcir/case/selle-v-gibb/,7th Cir.,Let It End,Ronald Selle,Barry Gibb et al.,Barry Gibb et al.
77,1984,US,Pendleton v. Acuff-Rose,https://blogs.law.gwu.edu/mcir/case/pendleton-v-acuff-rose/,M.D. Tenn.,Just a Blue Box,Howard Leslie Pendleton,Mama’s Shoe Box,Elizabeth Jane Anderson
78,1985,US,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",https://blogs.law.gwu.edu/mcir/case/cream-records-inc-v-jos-schlitz-brewing-co/,9th Cir.,The Theme From Shaft,Isaac Hayes,TV Ad for Schlitz Beer,Benton and Bowles
79,1985,UK,Lawson v. Dundas,https://blogs.law.gwu.edu/mcir/case/lawson-v-dundas/,,Channel 4 Jingle,David Lawson,Channel 4 Jingle,David Dundas
80,1985,US,Dixon v. Atlantic Recording Corp.,https://blogs.law.gwu.edu/mcir/case/dixon-v-atlantic-recording-corp-2/,S.D.N.Y.,I Need Love,William Dixon,Whole Lotta Love,Led Zeppelin
81,1986,US,Anheuser Busch v. Elsmere Music,https://blogs.law.gwu.edu/mcir/case/anheuser-busch-v-elsmere-music/,S.D.N.Y.,Budweiser Beer Commercial (1970s),Steve Karmen,Budweiser Beer Commercial (1985),Gavin Spencer
82,1986,US,Benson v. Coca-Cola,https://blogs.law.gwu.edu/mcir/case/benson-v-coca-cola/,11th Cir.,Don't Cha Know,John Benson,I'd Like to Buy the World a Coke,Coca-Cola Company
83,1986,US,Fisher v. Dees,https://blogs.law.gwu.edu/mcir/case/fisher-v-dees/,9th Cir.,When Sunny Gets Blue,Marvin Fisher and Jack Segal,When Sonny Sniffs Glue,Rick Dees
